title,year,rating
The Substance,2024,3.79
Dune: Part Two,2024,4.40
Challengers,2024,3.89
Nosferatu,2024,3.73
Anora,2024,3.93
Wicked,2024,3.88
Deadpool & Wolverine,2024,3.48
Inside Out 2,2024,3.60
Longlegs,2024,3.35
Conclave,2024,3.91
Gladiator II,2024,3.28
The Wild Robot,2024,4.22
Alien: Romulus,2024,3.59
We Live in Time,2024,3.66
Civil War,2024,3.56
A Real Pain,2024,3.75
A Complete Unknown,2024,3.58
The Brutalist,2024,3.96
Furiosa: A Mad Max Saga,2024,3.80
Beetlejuice Beetlejuice,2024,3.23
The Fall Guy,2024,3.42
Twisters,2024,3.28
MaXXXine,2024,3.09
Flow,2024,4.09
I Saw the TV Glow,2024,3.51
Trap,2024,2.67
Joker: Folie à Deux,2024,2.40
Heretic,2024,3.36
I'm Still Here,2024,4.33
Babygirl,2024,2.89
Carry-On,2024,2.99
A Quiet Place: Day One,2024,3.16
Love Lies Bleeding,2024,3.55
Monkey Man,2024,3.72
Smile 2,2024,3.26
Kinds of Kindness,2024,3.33
Blink Twice,2024,3.33
Emilia Pérez,2024,2.03
The Idea of You,2024,2.51
Mean Girls,2024,2.57
Immaculate,2024,2.91
Juror #2,2024,3.39
Kingdom of the Planet of the Apes,2024,3.32
It Ends with Us,2024,2.42
Queer,2024,3.39
Baby Reindeer,2024,3.98
It's What's Inside,2024,3.47
Lisa Frankenstein,2024,3.46
Despicable Me 4,2024,2.74
Wallace & Gromit: Vengeance Most Fowl,2024,3.85
Madame Web,2024,1.47
Sonic the Hedgehog 3,2024,3.47
Moana 2,2024,2.82
Megalopolis,2024,2.32
Abigail,2024,3.07
Speak No Evil,2024,3.27
Godzilla × Kong: The New Empire,2024,2.69
Saturday Night,2024,3.48
The Apprentice,2024,3.59
Venom: The Last Dance,2024,2.51
Look Back,2024,4.27
The First Omen,2024,3.38
My Old Ass,2024,3.53
Dìdi (弟弟),2024,4.01
Cuckoo,2024,2.92
Nickel Boys,2024,4.00
A Different Man,2024,3.80
Terrifier 3,2024,2.90
Kung Fu Panda 4,2024,2.68
Road House,2024,2.63
Drive-Away Dolls,2024,2.84
Damsel,2024,2.52
