Título,Año,Directores,Metascore
Sinners,2025,Ryan Coogler,84
Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan",81
Oppenheimer,2023,Christopher Nolan,90
Marty Supreme,2025,Josh Safdie,89
Spider-Man: Across the Spider-Verse,2023,"Justin K. Thompson, Kemp Powers",86
Weapons,2025,Zach Cregger,81
Challengers,2024,Luca Guadagnino,82
One Battle After Another,2025,Paul Thomas Anderson,95
Poor Things,2023,Yorgos Lanthimos,88
Anora,2024,Sean Baker,91
Glass Onion,2022,Rian Johnson,81
Past Lives,2023,Celine Song,94
Aftersun,2022,Charlotte Wells,95
Hamnet,2025,Chloé Zhao,84
Soul,2020,Pete Docter,83
The Holdovers,2023,Alexander Payne,82
Anatomy of a Fall,2023,Justine Triet,86
The Wild Robot,2024,Chris Sanders,85
