Título,Año,Directores,Metascore
Parasite,2019,Bong Joon Ho,97
La La Land,2016,Damien Chazelle,94
Whiplash,2014,Damien Chazelle,89
Get Out,2017,Jordan Peele,85
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey",87
Knives Out,2019,Rian Johnson,82
The Grand Budapest Hotel,2014,Wes Anderson,88
Lady Bird,2017,Greta Gerwig,93
Call Me by Your Name,2017,Luca Guadagnino,94
Little Women,2019,Greta Gerwig,91
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,84
Django Unchained,2012,Quentin Tarantino,81
Baby Driver,2017,Edgar Wright,86
Hereditary,2018,Ari Aster,87
The Social Network,2010,David Fincher,95
Her,2013,Spike Jonze,91
Inside Out,2015,Pete Docter,94
Coco,2017,Lee Unkrich,81
Arrival,2016,Denis Villeneuve,81
Blade Runner 2049,2017,Denis Villeneuve,81
Black Panther,2018,Ryan Coogler,88
Us,2019,Jordan Peele,81
Mad Max: Fury Road,2015,George Miller,90
The Lighthouse,2019,Robert Eggers,83
Moonlight,2016,Barry Jenkins,99
Uncut Gems,2019,"Benny Safdie, Josh Safdie",93
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,85
Portrait of a Lady on Fire,2019,Céline Sciamma,95
Dunkirk,2017,Christopher Nolan,94
A Quiet Place,2018,John Krasinski,82
The Witch,2015,Robert Eggers,84
