Título,Año,Directores,Metascore
Everything Everywhere All at Once,2022,"Daniel Scheinert, Daniel Kwan",81
Oppenheimer,2023,Christopher Nolan,90
Spider-Man: Across the Spider-Verse,2023,"Justin K. Thompson, Kemp Powers, …",86
Poor Things,2023,Yorgos Lanthimos,88
Challengers,2024,Luca Guadagnino,82
Anora,2024,Sean Baker,91
Glass Onion,2022,Rian Johnson,81
Past Lives,2023,Celine Song,94
Aftersun,2022,Charlotte Wells,95
Anatomy of a Fall,2023,Justine Triet,86
Soul,2020,Pete Docter,83
The Holdovers,2023,Alexander Payne,82
Killers of the Flower Moon,2023,Martin Scorsese,89
The Banshees of Inisherin,2022,Martin McDonagh,87
The Boy and the Heron,2023,Hayao Miyazaki,91
The Wild Robot,2024,Chris Sanders,85
The Zone of Interest,2023,Jonathan Glazer,92
A Real Pain,2024,Jesse Eisenberg,85
