Título,Año,Directores,Metascore
Her,2013,Spike Jonze,91
Snowpiercer,2013,Bong Joon Ho,84
12 Years a Slave,2013,Steve McQueen,96
Gravity,2013,Alfonso Cuarón,96
Before Midnight,2013,Richard Linklater,94
The Wind Rises,2013,Hayao Miyazaki,83
Under the Skin,2013,Jonathan Glazer,83
Inside Llewyn Davis,2013,"Joel Coen, Ethan Coen",93
The World’s End,2013,Edgar Wright,81
Blue Is the Warmest Color,2013,Abdellatif Kechiche,90
The Tale of The Princess Kaguya,2013,Isao Takahata,89
American Hustle,2013,David O. Russell,90
Captain Phillips,2013,Paul Greengrass,82
The Spectacular Now,2013,James Ponsoldt,82
The Great Beauty,2013,Paolo Sorrentino,86
Short Term 12,2013,Destin Daniel Cretton,82
Locke,2013,Steven Knight,83
Fruitvale Station,2013,Ryan Coogler,85
