Título,Año,Directores,Metascore
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey",87
Hereditary,2018,Ari Aster,87
Black Panther,2018,Ryan Coogler,88
A Quiet Place,2018,John Krasinski,82
Isle of Dogs,2018,Wes Anderson,82
BlacKkKlansman,2018,Spike Lee,83
The Favourite,2018,Yorgos Lanthimos,91
A Star Is Born,2018,Bradley Cooper,88
Mission: Impossible – Fallout,2018,Christopher McQuarrie,87
Roma,2018,Alfonso Cuarón,96
Eighth Grade,2018,Bo Burnham,85
Burning,2018,Lee Chang-dong,91
Shoplifters,2018,Hirokazu Kore-eda,93
Mandy,2018,Panos Cosmatos,83
First Man,2018,Damien Chazelle,84
Cold War,2018,Paweł Pawlikowski,90
If Beale Street Could Talk,2018,Barry Jenkins,87
Free Solo,2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi",83
